Order_ID,Order_Date,Customer_Age,Gender,City,Category,Qty,Unit Price,Discount,Shipping,Delivery,Sales,Profit,Rating,Profit_Category
SK100087,21-03-25,23,Male,Bengaluru,Beauty,4,8514,15,353,1,28947.6,6731.47,,1
SK100088,14-02-25,59,Male,Jaipur,Grocery,3,18685,40,182,3,33633,3288.56,4,1
SK100089,10-12-24,,,Mumbai,,1,33282,5,432,2,31617.9,5135.07,4,1
SK100090,12-08-24,26,Female,Lucknow,Beauty,5,37082,25,472,8,139057.5,26471.35,3,1
SK100091,08-06-24,36,Female,Delhi,Furniture,1,44692,25,222,5,33519,5702.27,2,1
SK100092,17-06-25,62,Female,Chennai,Sports,2,1648,30,418,1,2307.2,-2.06,2,0
SK100093,02-05-25,36,Female,Bengaluru,Beauty,2,11735,40,320,1,14082,1597.85,4,0
SK100094,11-06-25,27,Female,Jaipur,Fashion,2,10410,5,113,4,19779,2956.84,4,0
SK100095,13-03-25,47,Female,Hyderabad,Fashion,4,23844,10,278,1,85838.4,15388.54,4,1
SK100096,03-03-25,36,Female,Hyderabad,Grocery,4,46195,40,330,5,110868,5800.65,2,1
SK100097,12-11-24,49,Female,Delhi,Sports,5,25780,40,326,2,77340,21477.63,4,1
SK100098,21-11-24,64,Female,Jaipur,Beauty,4,10885,0,98,6,43540,5293.13,4,1
SK100099,07-09-24,,Male,Mumbai,Sports,4,34169,40,,9,82005.6,15495.91,5,1
SK100100,05-08-24,55,Female,Hyderabad,Furniture,1,39883,30,258,1,27918.1,5493.27,5,1
SK100101,07-06-25,36,Male,Mumbai,Sports,1,37379,30,564,3,26165.3,2499.6,3,0
SK100102,08-07-24,36,Male,Pune,Furniture,2,13887,15,431,2,23607.9,2324.25,1,0
SK100103,22-05-25,53,Female,Mumbai,Furniture,5,23018,30,59,1,80563,12080.69,1,1
SK100104,07-01-24,59,,Jaipur,Fashion,3,16195,20,407,1,38868,10609.13,4,1
SK100105,12-10-24,19,Male,Bengaluru,Electronics,1,891,0,392,9,891,-256.2,5,0
SK100106,23-11-24,22,Male,Bengaluru,Sports,5,33593,25,396,9,125973.75,15663.36,2,1
SK100107,06-05-25,24,Male,Chennai,,5,32206,15,236,3,136875.5,8440.18,4,1
SK100108,14-03-24,63,Female,Hyderabad,Sports,5,17398,20,280,4,69592,11415.66,2,1
SK100109,23-08-24,,Male,Delhi,Electronics,3,4511,40,299,8,8119.8,2070.18,,0
SK100110,06-08-24,40,Female,Hyderabad,Electronics,2,11184,5,454,10,21249.6,2058.69,2,0
SK100111,30-03-25,47,Female,Lucknow,Beauty,5,7713,20,472,7,30852,6217.29,2,1
SK100112,06-09-24,29,Female,Bengaluru,Grocery,3,19238,40,178,2,34628.4,7875.51,1,1
SK100113,07-01-25,21,Male,Pune,Fashion,3,40052,15,500,8,102132.6,21029.12,1,1
SK100114,24-04-25,33,Female,Lucknow,Fashion,2,43290,20,586,9,69264,7603.86,1,1
SK100115,11-07-24,29,Male,Mumbai,Grocery,3,20368,15,539,4,51938.4,3751.99,3,1
SK100116,23-01-25,23,Male,Mumbai,Furniture,2,37291,0,75,4,74582,8959.07,2,1
SK100117,31-10-24,60,Female,Mumbai,Electronics,3,715,40,343,1,1287,-173.52,5,0
SK100118,13-06-25,41,Male,Mumbai,Beauty,3,30288,20,458,6,72691.2,5909.88,5,1
SK100119,14-11-24,,,Hyderabad,Grocery,4,48206,5,,5,183182.8,53819.2,4,1
SK100120,14-03-25,24,Female,Hyderabad,Sports,3,7493,30,530,7,15735.3,1561.47,5,0
SK100121,23-09-24,57,Female,Pune,Sports,5,19728,10,211,4,88776,17622.44,3,1
SK100122,28-05-25,34,Female,Jaipur,Furniture,4,30718,40,389,6,73723.2,15446.8,2,1
SK100123,21-09-24,27,Female,Delhi,Furniture,2,7343,30,250,5,10280.2,2485.15,3,0
SK100124,04-05-25,63,Female,Pune,Grocery,1,6839,5,164,5,6497.05,897.5,3,0
SK100125,16-05-24,50,Male,Hyderabad,,3,6770,10,333,10,18279,1788.92,3,0
SK100126,16-11-24,48,Female,Hyderabad,Sports,4,35042,30,599,1,98117.6,8786.93,4,1
SK100127,28-09-24,29,Female,Delhi,Fashion,4,46797,30,194,4,131031.6,33355.3,2,1
SK100128,11-10-24,64,Female,Chennai,Grocery,2,28107,40,168,7,33728.4,2184.66,2,0
SK100129,08-06-25,,Female,Pune,Beauty,4,2647,10,113,5,9529.2,438.88,2,0
SK100130,01-12-24,25,Female,Hyderabad,Grocery,3,38327,40,393,4,68988.6,17606.94,1,1
SK100131,21-01-24,18,Male,Mumbai,Beauty,5,23973,10,343,10,107878.5,23978.21,,1
SK100132,30-07-24,38,Female,Lucknow,Electronics,3,11937,40,130,3,21486.6,3575.95,3,1
SK100133,04-12-24,53,Male,Hyderabad,Grocery,2,14127,25,424,3,21190.5,2931.2,2,0
SK100134,20-02-25,26,,Bengaluru,Beauty,2,47508,5,279,5,90265.2,9563.65,1,1
SK100135,20-01-24,36,Female,Pune,Sports,5,28060,0,484,1,140300,17563.41,1,1
SK100136,13-02-24,29,Female,Chennai,Furniture,1,35638,20,350,5,28510.4,1083.39,2,0
SK100137,21-01-25,35,Female,Jaipur,Fashion,3,14077,30,181,4,29561.7,4474.06,1,1
SK100138,02-01-24,59,Female,Delhi,Sports,2,21811,5,261,1,41440.9,5388.32,4,1
SK100139,11-05-24,,Female,Bengaluru,Fashion,1,12562,15,,6,10677.7,1863.83,4,0
SK100140,21-03-24,41,Female,Chennai,Furniture,5,25290,25,119,5,94837.5,11863.73,5,1
SK100141,24-09-24,52,Female,Delhi,Sports,3,43404,15,501,6,110680.2,31778.35,3,1
SK100142,07-09-24,26,Female,Delhi,Beauty,4,24233,20,396,6,77545.6,16445.12,2,1
SK100143,03-06-25,42,Female,Pune,,2,2756,10,521,6,4960.8,3.1,4,0
SK100144,21-06-25,46,Female,Pune,Electronics,4,49430,10,211,8,177948,19190.91,5,1
SK100145,22-05-24,18,Male,Mumbai,Beauty,2,44068,25,560,9,66102,14536.29,4,1
SK100146,17-05-25,32,Female,Mumbai,Beauty,4,3340,40,229,7,8016,1335.48,2,0
SK100147,22-08-24,25,Male,Mumbai,Grocery,2,49596,15,438,9,84313.2,23126.52,1,1
SK100148,15-02-25,57,Female,Hyderabad,Beauty,1,14108,30,187,5,9875.6,358.06,4,0
SK100149,20-06-24,,,Jaipur,Beauty,4,32842,0,578,6,131368,15190.85,1,1
SK100150,10-09-24,54,Female,Bengaluru,Grocery,2,18155,10,71,4,32679,4624.6,3,1
SK100151,16-10-24,20,Male,Mumbai,Sports,4,46835,15,153,5,159239,45624.52,3,1
SK100152,20-08-24,26,Female,Chennai,Grocery,5,3879,30,336,1,13576.5,678.71,5,0
SK100153,11-04-25,53,Male,Chennai,Fashion,1,12731,10,510,8,11457.9,505.96,,0
SK100154,13-11-24,50,Female,Jaipur,Beauty,1,34724,20,459,1,27779.2,4724.38,3,1
SK100155,13-03-24,57,Female,Bengaluru,Furniture,4,15220,10,257,3,54792,13677.14,1,1
SK100156,29-01-25,34,Female,Pune,Grocery,3,22087,20,510,10,53008.8,9757.04,3,1
SK100157,24-07-24,52,Male,Delhi,Beauty,4,46436,5,129,6,176456.8,27434.86,4,1
SK100158,28-02-24,60,Male,Jaipur,Grocery,3,43051,10,133,9,116237.7,27301.56,5,1
SK100159,27-01-24,,Male,Hyderabad,Beauty,1,9142,25,,8,6856.5,154.69,2,0
SK100160,02-02-24,50,Female,Chennai,Fashion,1,11857,5,67,2,11264.15,2312.81,4,0
SK100161,05-01-24,42,Female,Mumbai,,4,16421,5,277,5,62399.8,17144.45,5,1
SK100162,05-01-25,34,Male,Hyderabad,Beauty,5,5172,40,280,10,15516,1319.02,5,0
SK100163,18-06-24,47,Female,Mumbai,Fashion,3,37168,25,315,1,83628,3992.7,5,1
SK100164,20-01-25,43,,Lucknow,Sports,3,33443,30,328,3,70230.3,4617.1,5,1
SK100165,11-12-24,27,Male,Mumbai,Sports,5,41966,30,534,9,146881,43494.57,4,1
SK100166,27-02-24,52,Male,Lucknow,Fashion,2,28553,30,163,1,39974.2,4018.74,3,1
SK100167,01-10-24,59,Male,Pune,Sports,4,582,25,443,10,1746,-158.19,2,0
SK100168,31-03-24,36,Male,Jaipur,Grocery,1,11583,20,318,6,9266.4,1982.97,2,0
SK100169,14-05-25,,Male,Mumbai,Electronics,4,42548,15,341,1,144663.2,23301.76,2,1
SK100170,14-11-24,64,Female,Chennai,Grocery,4,25520,10,519,9,91872,20718.82,4,1
SK100171,28-05-25,39,Female,Pune,Beauty,5,21038,0,442,10,105190,23720.49,4,1
SK100172,03-11-24,43,Female,Chennai,Fashion,1,15861,10,509,7,14274.9,340.54,5,0
SK100173,22-02-25,60,Female,Bengaluru,Fashion,4,6413,30,240,5,17956.4,4964.48,3,1
SK100174,24-04-24,38,Female,Lucknow,Furniture,1,22147,30,334,9,15502.9,3770.83,4,1
SK100175,25-05-25,19,Male,Hyderabad,Electronics,3,39209,30,443,3,82338.9,9386.25,,1
SK100176,15-05-24,23,Male,Lucknow,Fashion,3,33156,30,588,3,69627.6,5626.13,4,1
SK100177,25-06-24,64,Female,Hyderabad,Sports,5,28653,30,64,8,100285.5,6211.89,3,1
SK100178,27-10-24,43,Female,Pune,Sports,3,32707,15,557,9,83402.85,10577.24,2,1
SK100179,09-04-25,,,Lucknow,,2,35010,10,,5,63018,18258.13,1,1
SK100180,20-05-25,55,Female,Pune,Beauty,3,14251,40,327,8,25651.8,1179.39,5,0
SK100181,28-02-24,45,Female,Delhi,Sports,4,33853,5,524,2,128641.4,30353.95,4,1
SK100182,15-09-24,32,Female,Lucknow,Beauty,1,2810,30,340,4,1967,-26.4,3,0
SK100183,02-03-25,63,Female,Bengaluru,Electronics,5,42916,10,559,3,193122,39485.89,5,1
SK100184,01-03-24,60,Male,Lucknow,Furniture,2,30233,25,99,1,45349.5,3897.22,3,1
SK100185,02-03-25,63,Male,Lucknow,Beauty,2,13884,0,578,2,27768,1630.73,4,0
SK100186,19-04-24,31,Female,Bengaluru,Fashion,2,25114,40,511,5,30136.8,1068.78,2,0
SK100187,15-06-25,43,Male,Hyderabad,Furniture,1,29959,15,105,7,25465.15,2289.09,5,0
SK100188,28-09-24,32,Male,Chennai,Sports,3,37046,10,594,8,100024.2,26240.4,1,1
SK100189,01-03-24,,Female,Pune,Sports,2,17225,25,157,3,25837.5,7045.4,4,1
SK100190,12-08-24,24,Female,Bengaluru,Furniture,1,39836,40,554,10,23901.6,2010.28,4,0
SK100191,18-12-24,34,Male,Mumbai,Grocery,5,27602,10,62,1,124209,14976.36,4,1
SK100192,19-05-24,44,Male,Chennai,Furniture,3,27965,40,376,6,50337,7379.75,4,1
SK100193,27-10-24,55,Male,Lucknow,Electronics,1,22298,5,195,7,21183.1,5677.06,1,1
SK100194,02-04-24,48,,Chennai,Electronics,4,24056,20,428,9,76979.2,20225.58,3,1
SK100195,03-04-24,42,Male,Lucknow,Furniture,1,23237,0,304,9,23237,6180.01,5,1
SK100196,31-05-25,31,Female,Hyderabad,Electronics,5,43161,0,342,7,215805,10703.3,2,1
SK100197,19-09-24,29,Male,Hyderabad,,2,34468,5,593,2,65489.2,18167.76,,1
SK100198,27-05-25,56,Female,Jaipur,Furniture,2,13101,10,50,5,23581.8,1789.72,1,0
SK100199,10-02-24,,Female,Pune,Furniture,3,26581,0,,9,79743,19411.77,2,1
SK100200,14-11-24,56,Female,Hyderabad,Beauty,3,32800,15,553,5,83640,18923.21,1,1
SK100201,04-02-24,18,Female,Chennai,Grocery,2,16096,25,266,7,24144,2647.14,2,0
SK100202,17-04-25,49,Male,Mumbai,Fashion,3,6752,30,574,8,14179.2,3067.64,2,1
SK100203,12-06-25,25,Female,Hyderabad,Fashion,4,26757,10,499,3,96325.2,16563.28,5,1
SK100204,29-02-24,33,Male,Jaipur,Beauty,1,47999,0,60,2,47999,13352.69,2,1
SK100205,05-01-24,32,Male,Pune,Electronics,4,10239,15,373,8,34812.6,3672.28,2,1
SK100206,03-08-24,48,Female,Chennai,Furniture,2,25853,5,96,3,49120.7,13145.94,5,1
SK100207,29-07-24,57,Male,Bengaluru,Electronics,4,8881,20,127,8,28419.2,2512.33,2,0
SK100208,18-02-25,28,Male,Delhi,Grocery,3,15782,40,133,3,28407.6,1731.14,1,0
SK100209,20-08-24,,,Hyderabad,Sports,5,27351,25,191,3,102566.25,11664.78,4,1
SK100210,20-06-25,28,Male,Jaipur,Electronics,4,41173,20,484,1,131753.6,22797.29,5,1
SK100211,25-04-24,39,Male,Chennai,Fashion,4,46287,5,458,3,175890.6,9670,2,1
SK100212,28-11-24,34,Male,Bengaluru,Fashion,5,33477,5,454,3,159015.75,25113.96,4,1
SK100213,16-01-24,59,Female,Delhi,Furniture,2,15405,15,460,7,26188.5,6544.4,2,1
SK100214,21-05-25,58,Male,Mumbai,Furniture,2,46229,25,307,9,69343.5,10104.62,4,1
SK100215,02-02-25,41,Female,Pune,,1,10219,40,218,10,6131.4,988.45,4,0
SK100216,08-01-24,22,Male,Mumbai,Beauty,5,5213,15,376,4,22155.25,3883.46,1,1
SK100217,19-05-25,46,Female,Delhi,Grocery,3,2333,30,350,10,4899.3,328.28,3,0
SK100218,13-03-25,48,Female,Hyderabad,Electronics,5,4114,30,371,5,14399,3525.17,2,1
SK100219,14-07-24,,Male,Mumbai,Electronics,2,18265,15,,6,31050.5,7457.3,,1
SK100220,23-02-25,53,Female,Mumbai,Beauty,5,39867,0,102,10,199335,59109.89,4,1
SK100221,17-05-24,47,Male,Mumbai,Sports,3,27222,25,159,5,61249.5,4123.26,3,1
SK100222,20-06-24,19,Female,Lucknow,Sports,1,32763,15,437,1,27848.55,1366.98,3,0
SK100223,19-01-24,51,Female,Pune,Beauty,3,8671,30,450,2,18209.1,3343.49,2,1
SK100224,10-03-25,39,,Pune,Sports,1,43152,5,244,6,40994.4,2411.7,2,0
SK100225,31-03-24,22,Male,Mumbai,Fashion,2,27750,30,300,2,38850,8618.59,2,1
SK100226,16-11-24,26,Male,Pune,Furniture,1,21360,20,326,6,17088,3119.69,4,1
SK100227,29-06-24,18,Female,Lucknow,Furniture,5,49228,10,539,7,221526,23008.79,2,1
SK100228,31-03-25,30,Female,Bengaluru,Grocery,5,12212,15,230,5,51901,5479.73,3,1
SK100229,19-05-25,,Male,Jaipur,Furniture,4,47396,25,465,4,142188,24297.12,4,1
SK100230,11-10-24,45,Female,Delhi,Sports,4,17119,25,330,3,51357,7481.72,3,1
SK100231,27-11-24,53,Female,Bengaluru,Furniture,4,33262,0,267,7,133048,9919.13,1,1
SK100232,09-04-25,44,Male,Hyderabad,Fashion,5,48512,10,401,5,218304,31848.18,1,1
SK100233,20-06-24,35,Female,Bengaluru,,5,6530,0,405,6,32650,6120.83,2,1
SK100234,12-03-24,40,Male,Chennai,Furniture,2,40587,40,324,6,48704.4,9203.1,5,1
SK100235,10-03-25,31,Male,Lucknow,Fashion,4,28054,20,302,1,89772.8,11212.69,4,1
SK100236,18-02-25,29,Male,Lucknow,Sports,1,18347,40,185,3,11008.2,1645.56,5,0
SK100237,11-10-24,39,Male,Bengaluru,Sports,2,5466,10,143,3,9838.8,2545.21,1,0
SK100238,07-06-24,59,Female,Chennai,Grocery,5,32889,20,257,1,131556,35797.91,3,1
SK100239,31-05-24,,,Lucknow,Fashion,2,3723,15,,9,6329.1,1350.6,1,0
SK100240,21-11-24,58,Female,Jaipur,Electronics,2,6394,10,416,1,11509.2,1642.66,4,0
SK100241,01-07-24,27,Male,Hyderabad,Sports,2,28685,5,127,8,54501.5,11305.57,,1
SK100242,06-09-24,45,Female,Bengaluru,Electronics,1,13830,10,193,3,12447,1158.91,2,0
SK100243,25-05-25,54,Female,Lucknow,Sports,1,29241,25,485,3,21930.75,4290.35,1,1
SK100244,05-06-24,65,Male,Mumbai,Fashion,1,5144,5,381,9,4886.8,739.59,3,0
SK100245,05-03-25,59,Male,Lucknow,Furniture,2,23436,10,388,6,42184.8,9670.93,2,1
SK100246,12-08-24,56,Female,Chennai,Furniture,5,35744,20,113,7,142976,21137.74,1,1
SK100247,09-02-24,44,Male,Hyderabad,Fashion,3,37536,25,131,4,84456,17858.53,1,1
SK100248,22-06-25,20,Female,Hyderabad,Fashion,5,29417,5,283,1,139730.75,21549.2,3,1
SK100249,30-03-24,,Male,Lucknow,Sports,3,40252,25,429,4,90567,14376.38,3,1
SK100250,20-05-25,64,Male,Mumbai,Furniture,4,47182,15,519,7,160418.8,11818.09,5,1
SK100251,03-01-25,28,Female,Chennai,,2,9413,5,458,9,17884.7,3491.14,4,1
SK100252,07-06-25,48,Female,Delhi,Furniture,2,17578,5,75,1,33398.2,6577.28,1,1
SK100253,29-04-25,62,Male,Hyderabad,Electronics,5,40063,30,296,2,140220.5,17405.16,2,1
SK100254,14-06-25,31,,Pune,Grocery,2,4343,0,271,4,8686,1527.53,2,0
SK100255,05-04-24,28,Male,Mumbai,Fashion,2,44878,5,542,1,85268.2,21506.74,3,1
SK100256,25-11-24,52,Female,Mumbai,Furniture,5,8859,0,242,3,44295,7340.32,1,1
SK100257,14-02-24,20,Female,Chennai,Furniture,2,38250,15,154,8,65025,6104.32,2,1
SK100258,03-03-25,21,Female,Hyderabad,Fashion,5,21901,10,589,7,98554.5,9437.5,1,1
SK100259,12-07-24,,Male,Lucknow,Electronics,3,7106,10,,5,19186.2,2184.53,5,0
SK100260,24-09-24,24,Female,Pune,Grocery,5,12792,40,310,7,38376,9155.44,3,1
SK100261,24-08-24,48,Male,Mumbai,Fashion,1,41893,20,273,8,33514.4,6462.62,3,1
SK100262,16-03-25,39,Female,Lucknow,Sports,3,13943,25,472,1,31371.75,8280.93,1,1
SK100263,16-06-25,48,Male,Chennai,Grocery,4,21646,5,357,8,82254.8,14166.84,,1
SK100264,25-05-25,35,Female,Hyderabad,Furniture,1,16202,0,249,2,16202,1707.46,4,0
SK100265,23-02-25,21,Male,Mumbai,Fashion,3,47027,5,160,1,134026.95,21114.64,1,1
SK100266,10-09-24,65,Female,Bengaluru,Furniture,4,49347,20,263,8,157910.4,43943.5,5,1
SK100267,03-03-25,31,Male,Hyderabad,Beauty,4,4841,5,72,7,18395.8,1833.23,1,0
SK100268,31-05-24,54,Male,Jaipur,Furniture,4,22756,20,262,4,72819.2,8928.84,5,1
SK100269,31-05-25,,,Bengaluru,,1,45220,10,257,9,40698,9143.24,1,1
SK100270,24-03-25,57,Female,Pune,Fashion,4,37627,40,279,7,90304.8,9837.17,1,1
SK100271,15-06-25,38,Female,Jaipur,Fashion,5,44877,5,59,3,213165.75,13990.17,4,1
SK100272,20-03-25,48,Male,Mumbai,Electronics,3,34560,30,449,3,72576,3938.64,4,1
SK100273,26-03-25,34,Female,Pune,Grocery,3,6356,0,314,1,19068,4840.34,1,1
SK100274,05-04-24,47,Female,Jaipur,Beauty,4,20727,40,191,10,49744.8,5162.33,4,1
SK100275,07-09-24,49,Female,Pune,Sports,4,47044,25,275,2,141132,33197.49,2,1
